일자,제목,URL,본문
20240519,속보 이란 대통령 탑승 헬기 비상착륙 생사 확인 안돼,http://www.munhwa.com/news/view.html?no=2024051901039910126003,"내무부  악천후와 험한 지형으로 구조대 접근 지연 
에브라힘 라이시 이란 대통령이 탄 헬기가 19일(현지시간) 오후 비상착륙해 구조대가 급파됐다고 이란 현지언론과 외신이 보도했다.

이란 국영방송 등은 이날 북서부 동아제르바이잔주(州) 바르즈건 지역에서 대통령이 탄 헬기가 비상착륙했다고 보도했으며 이란 내무부도 이 사실을 확인했다.

대통령의 생사는 아직 확인되지 않았다.

이란 내무부는 악천후와 험한 지형으로 구조대의 접근이 지연되고 있다고 설명했다.

라이시 대통령은 이날 동아제르바이잔주에서 댐 준공식에 참석한 뒤 헬기로 이동하던 중이었다.

이 헬기에는 라이시 대통령과 함께 호세인 아미르압돌라히안 외무장관, 말리크 라흐마티 동아제르바이잔 주지사, 에너지 장관 등도 탑승했다고 국영 IRNA 통신이 전했다.

일부 언론은 이날 모두 3대의 헬기가 이동했으며 이 중 1대가 경착륙했고 이 헬기에 라이시 대통령이 탑승했는지는 아직 알려지지 않았다고 보도했다. 그와 장관들이 함께 탄 헬기가  추락했다 는 보도도 나왔다.

메흐르 통신은  짙은 안개 탓에 헬기가 비상착륙 했지만 대통령은 다치지 않았으며 자동차로 갈아타고 육로로 이동하고 있다 고 전했다가  대통령 헬기가 비상착륙했다는 소식이 있으며 여러 방향으로 구조대가 접근중 이라고 기사를 수정했다.

반관영 파르스 통신은  대통령의 안전을 위해 모두 기도하자 고 호소했다."
20240519, 이란 대통령 탄 헬기 비상착륙 구조대 급파 ,http://www.seoul.co.kr/news/newsView.php?id=20240519500094,"에브라힘 라이시 이란 대통령이 탄 헬기가 19일(현지시간) 오후 비상착륙해 구조대가 급파됐다고 이란 현지언론과 외신이 보도했다.

이란 국영방송 등은 이날 북서부 동아제르바이잔주(州) 바르즈건 지역에서 대통령이 탄 헬기가 비상착륙했다고 보도했다. 이란 내무부도 이 사실을 확인했다. 라이시 대통령은 이날 동아제르바이잔주에서 댐 준공식에 참석한 뒤 헬기로 이동하던 중이었다. 헬기에는 호세인 아미르압돌라히안 외무장관, 말리크 라흐마티 동아제르바이잔 주지사, 에너지 장관 등도 탑승했다고 국영 IRNA 통신이 전했다.

대통령의 생사는 아직 확인되지 않았다. 이란 내무부는 악천후와 험한 지형으로 구조대의 접근이 지연되고 있다고 설명했다.

일부 언론은 이날 모두 3대의 헬기가 이동했으며 이 중 1대가 경착륙했고 이 헬기에 라이시 대통령이 탑승했는지는 아직 알려지지 않았다고 보도했다. 그와 장관들이 함께 탄 헬기가  추락했다 는 보도도 나왔다.

메흐르 통신은  짙은 안개 탓에 헬기가 비상착륙 했지만 대통령은 다치지 않았으며 자동차로 갈아타고 육로로 이동하고 있다 고 전했다가  대통령 헬기가 비상착륙했다는 소식이 있으며 여러 방향으로 구조대가 접근중 이라고 기사를 수정했다. 반관영 파르스 통신은  대통령의 안전을 위해 모두 기도하자 고 호소했다."
20240519,이란 대통령 탄 헬기 비상착륙 구조대 접근 지연,http://www.hani.co.kr/arti/international/international_general/1141162.html,"에브라힘 라이시 이란 대통령과 최고 외교관이 탄 헬리콥터가 사고로 19일(현지시간) 비상착륙했다. 대통령의 생사는 아직 확인되지 않았으며, 악천후 등으로 구조대 접근이 지연되고 있다고 현지 언론이 보도했다. 

현지 언론 타스님은 이날 엑스(X·옛 트위터)를 통해 라이시 대통령이 헬기로 이웃나라 아제르바이잔을 방문하기 위해 이동하던 중 사고를 당했다고 보도했다. 대통령의 생사는 아직 확인되지 않았지만, 대통령과 같은 헬기에 탑승했던 일행 가운데 일부가 이란 쪽과 연락이 닿아 인명피해 없이 상황이 끝날 수 있다는 희망이 나온다고 이 언론은 전했다. 

이란 내무부 역시 대통령이 탄 헬기가 비상착륙한 사실을 확인했다. 이란 내무부는 악천후와 험한 지형으로 구조대의 접근이 지연되고 있다고 설명했다. 영국 텔레그래프는 현지에 안개가 낀 기상 상황 탓에 수색에 어려움을 겪는 것으로 보인다는 지역 주민들의 말도 인용했다.

광고
앞서 라이시 대통령과 고위 관리 등들은 세 대의 헬리콥터에 나눠 아제르바이잔으로 이동하고 있었다. 라이시 대통령이 탄 헬기 외에 다른 두 헬기는 별탈없이 목적지에 무사히 도착한 것으로 알려졌다. 라이시 대통령이 탄 헬리콥터에 어떤 문제가 있었는지는 아직 알려지지 않고 있다. 

이와 관련해 에이피(AP) 통신도  라이시 대통령을 태운 헬기가 일요일에  경착륙  했다 는 소식을 이란 국영 이르나(IRNA) 통신 등을 인용해 전했다. 이 통신에 따르면, 이번 사고는 이란 수도 테헤란에서 북서쪽으로 약 600㎞ 떨어진 아제르바이잔과 국경을 접한 도시 근처에서 일어났다. 라이시 대통령과 함께 아제르바이잔에 동행한 이들 가운데는 이란 외무장관과 아제르바이잔 주지사를 비롯한 관리들이라고 이 통신은 보도했다.
"
20240519, 에브라힘 라이시 이란 대통령 탑승 헬기 비상착륙  종합 ,https://www.hankyung.com/article/2024051982817,"에브라힘 라이시 이란 대통령이 탄 헬기가 19일(현지시간) 비상착륙해 구조대가 급파됐다.

이란 국영방송(IRIB) 등 현지 언론은 이날 북서부 동아제르바이잔주(州) 바르즈건 지역에서 이동하던 라이시 대통령 호송대가 탄 헬기가 비상착륙했다고 보도했다.



이란 내무부도 헬기의 비상착륙 사실을 확인했으나 라이시 대통령의 생사는 확인되지 않은 것으로 전해졌다.
사진=REUTERS
사진=REUTERS
라이시 대통령의 신병에 대한 보도는 혼선을 빚고 있다. IRIB는 이날 모두 3대의 헬기가 이동했고, 이 중 1대가 경착륙했다고 전했다. 다만 일부 언론은 비상착륙한 헬기에 라이시 대통령이 탑승했는지는 아직 알려지지 않았다고 전했다. 이란 내무부는 악천후와 험한 지형으로 구조대의 접근이 지연되고 있다고 설명했다.

라이시 대통령은 이날 동아제르바이잔주에서 댐 준공식에 참석한 후 헬기로 이동하던 중이었다. 대통령이 탑승한 헬기에는 호세인 아미르압돌라히안 이란 외무장관, 말리크 라흐마티 동아제르바이잔 주지사, 에너지 장관 등도 함께 탔다고 국영 IRNA통신은 전했다.
사진=REUTERS
사진=REUTERS
메흐르통신은 ""짙은 안개 탓에 헬기가 비상착륙했지만 대통령은 다치지 않았고 자동차로 갈아타고 육로로 이동하고 있다""고 보도했으나 이후 ""대통령 헬기가 비상착륙했다는 소식이 있고, 구조대가 접근 중""이라고 수정했다."
20240519, 이란 대통령 탑승 헬기 비상착륙 구조대 접근 지연 ,http://www.sedaily.com/NewsView/2D991IL5HJ,"
에브라힘 라이시 이란 대통령 일행이 탄 헬기가 19일(현지 시간) 비상착륙해 구조대가 급파된 것으로 나타났다.

이란 현지 매체들에 따르면 라이시 대통령은 이날 북서부 동아제르바이잔주(州) 바르즈건 지역에서 이동하던 중 그가 탄 헬기가 비상착륙했다. 이란 내무부 역시 비상착륙 사실을 확인했다. 라이시 대통령의 생사는 아직 확인되지 않았다. 내무부는  악천후와 험한 지형으로 구조대의 접근이 지연되고 있다 고 설명했다.




앞서 일부 언론은 모두 3대의 헬기가 이동했으며 이 중 1대가 경착륙했다고 전했다. 이 헬기에 라이시 대통령이 탑승했는지 역시 정확히 알려지지 않았다. 이날 일행에는 호세인 아미르압돌라이한 이란 외무장관, 말렉 라흐마티 동아제르바이잔 주지사 등 고위 관리들도 포함됐다.

현지 매체들이 라이시 대통령의 신병에 대해 보도하는 과정에서 혼선이 빚어졌다. 메흐르 통신은  짙은 안개 탓에 라이시 대통령의 헬기가 비상착륙해 자동차로 갈아타고 육로로 이동하고 있다고 전했다 가  대통령 헬기가 비상착륙했다는 소식이 있으며 여러 방향으로 구조대가 접근 중 이라고 기사를 수정했다. 이란 국영방송은 ""대통령이 탄 헬기가 사고에 휘말려 구조대가 급히 파견됐다""고 보도했지만 구체적인 내용은 밝히지 않았다.
"
20240519,이란 대통령 탄 헬기  추락  구조대 현장에 급파,http://www.mk.co.kr/article/11019322,"에브라힘 라이시 이란 대통령 일행을 태운 헬기가 19일(현지시간)추락해 구조대가 급파된 것으로 전해졌다. 안개로 구조 활동에 어려움을 겪고 있는 가운데, 정확한 사고 원인은 물론 라이시 대통령의 신변 이상 여부에 대해서도 알려지지 않은 상태다.

이란 국영 통신 IRNA 등 현지 언론들은 이날 라이시 대통령이 이란 북서부 동아제르바이잔주(州)에서 헬기로 이동하던 중 사고가 발생했다고 보도했다. IRNA는 사고 발생 지역이 이란 수도 테헤란에서 북서쪽으로 약 600km 떨어진 아제르바이잔과의 국경에 있는 도시 졸파 인근이라고 전했다. 라이시 대통령은 이날 오전 댐 개관식을 위해 아제르 바이젠주를방문했던 것으로 전해졌다.

라이시 대통령 일행을 태운 헬기는 총 3대였는데, 2대는 무사했으나 1대가 비상착륙한 것으로 전해졌다. 비상착륙한 헬기에 라이시 대통령이 탑승했는지는 불확실한 상태다. 일행 중에는 라이시 대통령 뿐 아니라 호세인 아미르 압돌라히안 이란 외무부 장관 등 다수 관료들도 포함됐다.

현지 매체들에 따르면 짙은 안개 탓에 라이시 대통령의 헬기가 비상착륙해 자동차로 갈아타고 육로로 이동하고 있다고 전하는 등 그의 신변에 대한 보도가 혼선을 빚고 있다.

올해 63세인 라이시 대통령은 2021년 대통령직에 오르기 전까지 사법부 수장을 역임했으며 이란 내 대표적인 강경파로 꼽힌다. 이란 최고 지도자 아야톨라 알리 하메네이의 수제자로 여겨지며, 일부 분석가들은 그를 하메네이의 잠재적 후계자로 거론해왔다.

이란은 최근 우크라이나와 전쟁을 벌이는 러시아에 무기를 제공했을 뿐 아니라, 팔레스타인 무장정파 하마스와 전쟁을 벌이고 있는 이스라엘에 대해 대량의 드론과 미사일 공격을 감행하기도 했다.

뿐만 아니라 예멘 후티 반군과 레바논 헤즈볼라 등 중동 지역의 대리 단체를 통해 미국 등 서방진영과 대립을 계속해 왔다.


이란은 서방진영으로부터의 장기간에 걸친 제재로 인해 헬기 부품 등 물자 확보에 어려움을 겪어왔다."
20240519, 이란 대통령 탑승 헬기 비상착륙 생사 아직 확인되지 않아  (종합),https://www.imaeil.com/page/view/2024051923011035876,"이란 현지언론들이 19일(현지시간) 에브라힘 라이시 이란 대통령이 탄 헬기가 비상착륙 해 구조대가 급파됐다고 보도했다. 대통령의 생사는 아직 확인되지 않고 있다.

현지 언론과 외신 등에 따르면 라이시 대통령은 이날 북서부 동아제르바이잔주(州)에서 헬기로 이동하던 중 그가 탄 헬기가 비상착륙했다.

일부 언론은 이날 모두 3대의 헬기가 이동했으며 이 가운데 1대가 경착륙했고 이 헬기에 라이시 대통령이 탑승했는지는 아직 알려지지 않았다. 그와 장관들이 함께 탄 헬기가  추락했다 는 보도도 나왔다.

메흐르 통신은 ""짙은 안개 탓에 헬기가 비상착륙 했지만 대통령은 다치지 않았으며 자동차로 갈아타고 육로로 이동하고 있다""고 전했다가 ""대통령 헬기가 비상착륙했다는 소식이 있으며 여러 방향으로 구조대가 접근중""이라고 기사를 한 차례 수정했다.



이란 내무부는 악천후와 험한 지형으로 구조대의 접근이 지연되고 있다고 설명했다.

이란 관계자는 로이터통신에 ""헬기 추락으로 라이시 대통령과 아미르압돌라히안 외무장관의 생명이 위태롭다""며 ""우리는 여전히 희망적이지만 현장에서 나오는 정보는 우려스럽다""고 말했다.

라이시 대통령은 이날 동아제르바이잔주에서 댐 준공식에 참석한 뒤 헬기로 이동하던 중이었다.

국영 IRNA 통신은 이 헬기에 라이시 대통령과 호세인 아미르압돌라히안 외무장관, 말리크 라흐마티 동아제르바이잔 주지사, 에너지 장관 등도 탑승했다고 전했다.

이 소식을 접한 반관영 파르스 통신은 ""대통령의 안전을 위해 모두 기도하자""고 호소했다."
20240519,이란 대통령 탑승 헬기 경착륙 구조대 급파,https://www.kmib.co.kr/article/view.asp?arcid=0020113928&code=61131411&cp=kd,"에브라힘 라이시 이란 대통령이 탑승한 헬기가 19일(현지시간) 아제르바이잔주 국경 인근을 지나던 중 경착륙했다.

이란 국영 IRNA 통신은 이날 북서부 동아제르바이잔주에서 헬기로 이동하던 중 라이시 대통령이 탄 헬기가 비상 착륙했다고 보도했다.

이 매체는  경착륙 이라고 했지만 일부 언론은  추락 이라고 보도하는 등 정확한 정보는 아직 알려지지 않았다. 이란 국영방송도  대통령이 탄 헬기가 사고에 휘말려 구조대가 급히 파견됐다 고 보도했을 뿐 자세한 내용은 전하지 않았다.

라이시 대통령이 탑승한 헬기를 포함해 모두 3대의 헬기가 이동했으며 일행 중 호세인 아미르 압돌라히안 이란 외무장관도 있는 것으로 알려졌다. 메흐르통신은  짙은 안개 탓에 라이시 대통령의 헬기가 비상착륙해 자동차로 갈아타고 육로로 이동하고 있다 고 전했다. 비상착륙한 헬기에 라이시 대통령이 탑승했는지는 아직 알려지지 않았다고 전하는 언론도 있었다.

사고는 라이시 대통령이 일함 알리예프 아제르바이잔 대통령과 국경 인근 아라스강의 댐 준공식에 참석한 뒤 돌아가는 길에 발생했다. 라이시 대통령은 준공식에서  적들은 이란과 아제르바이잔의 관계 발전을 보고 싶어하지 않지만, 우리는 공통으로 경제 발전을 이뤄낼 것 이라고 말했다.

이란은 최근 중동 지역 긴장 완화를 위해 미국과 물밑 협상을 이어가는 중이다. 미 매체 악시오스는 소식통을 인용해 지난 17일 미국과 이란이 간접 회담을 했다고 보도했다.

보도에 따르면 브렛 맥거크 백악관 중동 고문과 아브람 페일리 이란 특사는 지난 14일 중재국인 오만에서 회담을 나눴다. 미국과 이란 대표단이 직접 얼굴을 맞대지는 않았지만 오만 당국자가 양측 대표단을 오가며 의견을 전달하는 방식으로 회담한 것으로 알려졌다.

이 회담은 이스라엘이 지난달 1일 시리아 주재 이란 영사관을 폭격하자 이란이 같은 달 13일 미사일과 자폭 드론 등을 동원해 이스라엘 본토를 사상 처음으로 공격하며 중동 지역 위기감이 고조된 지 한 달여 만에 이뤄진 것이다.

회담에서는 이란뿐 아니라 레바논의 시아파 무장세력 헤즈볼라, 시리아와 이라크의 친이란 민병대, 후티 반군 등 친이란 무장세력이 역내에서 취한 행동의 결과를 명확히 했다고 전해졌다.

미국은 회담에서 이란의 핵 프로그램에 대한 우려를 전달했다. 몇몇 이란 당국자들은 최근 몇주 간 이란의 핵무기 개발 가능성을 언급한 바 있다.

[출처] - 국민일보
[원본링크] - https://www.kmib.co.kr/article/view.asp?arcid=0020113928&code=61131411&cp=kd"
20240519,이란 대통령 탄 헬기 비상착륙  사고 휘말려 ,http://www.segye.com/content/html/2024/05/19/20240519511084.html,"에브라힘 라이시 이란 대통령이 탄 헬기가 19일(현지시간) 비상착륙해 구조대가 급파됐다고 이란 현지언론들이 보도했다.

 


에브라힘 라이시 이란 대통령. AP연합뉴스
현지 언론들에 따르면 라이시 대통령은 이날 북서부 동아제르바이잔주에서 헬기로 이동하던 중 헬기가 비상착륙했다. 일부 언론은 이날 모두 3대의 헬기가 이동했으며 이 중 1대가 경착륙했고 이 헬기에 라이시 대통령이 탑승했는지는 아직 알려지지 않았다고 보도했다. 대통령이 탑승한 헬기에는 호세인 아미르 압돌라이안 이란 외무장관도 동석한 것으로 알려졌다.

 

그와 장관들이 함께 탄 헬기가  추락했다 는 보도도 나왔지만 메흐르 통신은 짙은 안개 탓에 라이시 대통령의 헬기가 비상착륙해 자동차로 갈아타고 육로로 이동하고 있다고 전하는 등 그의 신병에 대한 보도가 혼선을 빚고 있다.

 

이란 국영방송은  대통령이 탄 헬기가 사고에 휘말려 구조대가 급히 파견됐다 고 보도했을 뿐 자세한 내용은 전하지 않았다."
20240519,이란 언론  라이시 대통령 탑승 헬기 비상착륙 원인 피해상황 불명 ,https://www.hankookilbo.com/News/Read/A2024051922500003853,"에브라힘 라이시(63) 이란 대통령이 탄 헬기가 비상착륙했다고 현지 언론이 보도했다. 이란 당국은 구조대를 급파했지만, 악천후 탓에 수색 작업이 지연되고 있다.

이날 이란 국영 IRNA통신, 반관영 타스님통신 등은 ""라이시 대통령을 태운 헬리콥터가 동아제르바이잔주(州) 바르즈건 지역에서 비상 착륙했다""고 보도했다. 라이시 대통령은 이날 아제르바이잔 접경 지역에서 열린 댐 준공식에 참석한 후 돌아오는 길이었다고 IRNA는 전했다. 헬기에는 호세인 아미르압돌라히안 외무장관, 말리크 라흐마티 동아제르바이잔 주지사 등도 탑승한 것으로 전해졌다. 다른 정부 각료들을 태운 나머지 헬기 2대는 정상 비행 끝에 무사히 착륙했다. 이란 내무부도 비상 착륙 사실을 확인했다.

정확한 사고 원인 및 인명 피해 규모는 아직 알려지지 않았다. 타스님은 ""대통령 측근 일부가 (재난)지휘본부에 연락한 것으로 전해졌다""면서 ""인명 피해는 없을 것이라는 기대감이 커지고 있다""고 전했다. 그러나 익명의 이란 관계자는 로이터통신에 ""헬기 추락으로 라이시 대통령과 아미르압돌라히안 외무장관의 생명이 위태롭다. 우리는 여전히 희망적이지만 현장에서 나오는 정보는 우려스럽다""고 말했다. AP통신은 이란 매체들이 사고 발생 마을도 다르게 전하는 등 세부 사항이 혼란스럽다고 짚었다.


짙은 안개 탓 가시거리 제한
이란 구급대원들이 19일 동아제르바이잔주(州) 바르즈건 지역에서 헬기를 타고 귀국하던 도중 불시착한 에브라힘 라이시(63) 이란 대통령을 수색하고 있다. 이란 국영 IRNA통신 제공이미지 확대보기
이란 구급대원들이 19일 동아제르바이잔주(州) 바르즈건 지역에서 헬기를 타고 귀국하던 도중 불시착한 에브라힘 라이시(63) 이란 대통령을 수색하고 있다. 이란 국영 IRNA통신 제공

특히 기상 조건이 걸림돌이다. 영국 BBC방송은 이란 적신월사가 구조대 40개팀을 파견해 일대를 샅샅이 수색하고 있지만, 짙은 안개 탓에 가시거리가 5m도 채 나오지 않고 있다고 전했다. 실제 이날 IRNA가 공개한 구호단체 영상에는 2, 3m 간격으로 떨어져서 라이시 대통령을 찾고 있는 구급대원들 주변이 온통 뿌연 안개로 덮인 모습이 담겼다. 아마드 바히디 이란 내무장관도 국영 언론 인터뷰에서 ""안개 때문에 추락 현장에 도달하는 데 시간이 걸릴 것""이라고 말했다. 영국 BBC방송은 ""이란 국영 언론들은 이란인들에게 라이시 대통령을 위해 기도할 것을 촉구했다""고 전했다.

이란 내 대표적 강경 보수파인 라이시 대통령은 지난 2021년 8월 제13대 이란 대통령으로 취임했다. 그는 이슬람 원리주이자이자 이란 사법부 수장을 지냈으며, 핵무기 개발 등 반(反) 서방 기조를 강화한 것으로 평가된다. AP는 ""라이시 대통령은 이란 최고지도자 아야톨라 알리 하메네이의 제자로 여겨지며 일부 분석가들은 라시이 대통령이 차기 최고지도자가 될 수 있다고 분석한다""고 전했다.
"
